CPU REGISTER BURST: 1 PIXEL/CYCLE TRACE
=======================================
CPU is ACTIVE. Executing 15 consecutive 'sw' assembly instructions.

Cyc | CPU_PC     | CPU_Instr  | CPU_Exec_WE | Pushed_Pixel | Accel_WE | Val_MAC | Filtered_Out 
----+------------+------------+-------------+--------------+----------+---------+--------------
C00 | 0x00000094 | 0x00e52023 |      1      |  0x00000000  |    1     |    0    |  ----------  
C01 | 0x00000098 | 0x00f52023 |      1      |  0x00000000  |    1     |    0    |  ----------  
C02 | 0x0000009c | 0x01052023 |      1      |  0x00000000  |    1     |    1    |  0x00000000  
C03 | 0x000000a0 | 0x01152023 |      1      |  0x00000000  |    1     |    1    |  0x00000000  
C04 | 0x000000a4 | 0x01252023 |      1      |  0x00ffffff  |    1     |    1    |  0x00000000  
C05 | 0x000000a8 | 0x01352023 |      1      |  0x00ffffff  |    1     |    1    |  0x00000000  
C06 | 0x000000ac | 0x01452023 |      1      |  0x00ffffff  |    1     |    1    |  0x00000000  
C07 | 0x000000b0 | 0x01552023 |      1      |  0x00ffffff  |    1     |    1    |  0x00000000  
C08 | 0x000000b4 | 0x01652023 |      1      |  0x00ffffff  |    1     |    1    |  0x00000000  
C09 | 0x000000b8 | 0x01752023 |      1      |  0x00ff0000  |    1     |    1    |  0x00000000  
C10 | 0x000000bc | 0x01852023 |      1      |  0x0000ff00  |    1     |    1    |  0x00040404  
C11 | 0x000000c0 | 0x01952023 |      1      |  0x000000ff  |    1     |    1    |  0x000a0a0a  
C12 | 0x000000c4 | 0x00000593 |      1      |  0x00888888  |    1     |    1    |  0x000e0e0e  
C13 | 0x000000c8 | 0x00b52023 |      1      |  0x00123456  |    1     |    1    |  0x000f0f0f  
C14 | 0x000000cc | 0x00b52023 |      0      |  ----------  |    0     |    1    |  0x000f0e0e  
C15 | 0x000000d0 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x000e0b0a  
C16 | 0x000000d4 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x000a0805  
C17 | 0x000000d8 | 0x00b52023 |      1      |  0x00000000  |    1     |    0    |  ----------  
C18 | 0x000000dc | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x00050705  
C19 | 0x000000e0 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x00070a0c  
C20 | 0x000000e4 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x0017181c  
C21 | 0x000000e8 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x002e2f30  
C22 | 0x000000ec | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x003c3d3d  
C23 | 0x000000f0 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x003f3f40  
C24 | 0x000000f4 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x003f3b3b  
C25 | 0x000000f8 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x003b2f2b  
C26 | 0x000000fc | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x002b2317  
C27 | 0x00000100 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x00161e16  
C28 | 0x00000104 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x00121f27  
C29 | 0x00000108 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x002b313f  
C30 | 0x0000010c | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x004b4f56  
C31 | 0x00000110 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x005c5f61  
C32 | 0x00000114 | 0x00b52023 |      1      |  0x00000000  |    1     |    1    |  0x005f6060  
C33 | 0x00000118 | 0x000dad03 |      1      |  0x00000000  |    1     |    1    |  0x005f5959  
C34 | 0x0000011c | 0x0000006f |      1      |  0x00000000  |    1     |    1    |  0x00594741  
C35 | 0x00000120 | 0x00000013 |      0      |  ----------  |    0     |    1    |  0x00413523  
C36 | 0x00000118 | 0x00000000 |      0      |  ----------  |    0     |    1    |  0x00212d21  
C37 | 0x0000011c | 0x0000006f |      0      |  ----------  |    0     |    1    |  0x00172936  
C38 | 0x00000120 | 0x00000013 |      0      |  ----------  |    0     |    0    |  ----------  
C39 | 0x00000118 | 0x00000000 |      0      |  ----------  |    0     |    0    |  ----------  
C40 | 0x0000011c | 0x0000006f |      0      |  ----------  |    0     |    0    |  ----------  
C41 | 0x00000120 | 0x00000013 |      0      |  ----------  |    0     |    0    |  ----------  
C42 | 0x00000118 | 0x00000000 |      0      |  ----------  |    0     |    0    |  ----------  
C43 | 0x0000011c | 0x0000006f |      0      |  ----------  |    0     |    0    |  ----------  
C44 | 0x00000120 | 0x00000013 |      0      |  ----------  |    0     |    0    |  ----------  
C45 | 0x00000118 | 0x00000000 |      0      |  ----------  |    0     |    0    |  ----------  
C46 | 0x0000011c | 0x0000006f |      0      |  ----------  |    0     |    0    |  ----------  
C47 | 0x00000120 | 0x00000013 |      0      |  ----------  |    0     |    0    |  ----------  
C48 | 0x00000118 | 0x00000000 |      0      |  ----------  |    0     |    0    |  ----------  
C49 | 0x0000011c | 0x0000006f |      0      |  ----------  |    0     |    0    |  ----------  
