DMA EMULATION: VERTICAL PIPELINE TRACE
======================================
Testbench acts as DMA, injecting 1 pixel per cycle while CPU is in reset.

Cyc | CPU_RST | DMA_ON | DMA_WE | DMA_Push_Addr | DMA_Push_Data | Accel_WE | Val_Mul | Val_Row | Val_MAC | Accel_Out_Data
----+---------+--------+--------+---------------+---------------+----------+---------+---------+---------+---------------
C00 |    1    |   1    |   0    |  ----------   |  ----------   |    0     |    0    |    0    |    0    |   ----------
C01 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    0    |    0    |    0    |   ----------
C02 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    0    |    0    |   ----------
C03 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    0    |   ----------
C04 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00000000
C05 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00000000
C06 |    1    |   1    |   1    |  0x00012024 |  0x00ffffff |    1     |    1    |    1    |    1    |   0x00000000
C07 |    1    |   1    |   1    |  0x00012024 |  0x00ffffff |    1     |    1    |    1    |    1    |   0x00000000
C08 |    1    |   1    |   1    |  0x00012024 |  0x00ffffff |    1     |    1    |    1    |    1    |   0x00000000
C09 |    1    |   1    |   1    |  0x00012024 |  0x00ffffff |    1     |    1    |    1    |    1    |   0x00000000
C10 |    1    |   1    |   1    |  0x00012024 |  0x00ffffff |    1     |    1    |    1    |    1    |   0x00000000
C11 |    1    |   1    |   1    |  0x00012024 |  0x00ff0000 |    1     |    1    |    1    |    1    |   0x00ffffff
C12 |    1    |   1    |   1    |  0x00012024 |  0x0000ff00 |    1     |    1    |    1    |    1    |   0x00ffffff
C13 |    1    |   1    |   1    |  0x00012024 |  0x000000ff |    1     |    1    |    1    |    1    |   0x00ffffff
C14 |    1    |   1    |   1    |  0x00012024 |  0x00888888 |    1     |    1    |    1    |    1    |   0x00ffffff
C15 |    1    |   1    |   1    |  0x00012024 |  0x00123456 |    1     |    1    |    1    |    1    |   0x00ffffff
C16 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C17 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C18 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C19 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C20 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C21 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C22 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C23 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C24 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C25 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C26 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C27 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C28 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C29 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C30 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C31 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C32 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C33 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C34 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C35 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C36 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C37 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C38 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
C39 |    1    |   1    |   1    |  0x00012024 |  0x00000000 |    1     |    1    |    1    |    1    |   0x00ffffff
