HARDWARE INJECTOR: 15-SIGNAL VERTICAL PIPELINE TRACE
====================================================
Testbench acts as Stream Controller, injecting 1 pixel per cycle while CPU is in reset.

Cyc | CPU_RST | Inj_ON | Mem_RE | Mem_RAddr  | Mem_WE | Mem_WAddr  | Mem_WData  | Accel_WE | V_Mul | V_Row | V_MAC | Accel_Out  | VRAM_WE | UART_Tx
----+---------+--------+--------+------------+--------+------------+------------+----------+-------+-------+-------+------------+---------+--------
C00 |    1    |   1    |   0    | ---------- |   0    | ---------- | ---------- |    0     |   0   |   0   |   0   | ---------- |    0    |   z
C01 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   0   |   0   |   0   | ---------- |    0    |   z
C02 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   0   |   0   | ---------- |    0    |   z
C03 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   0   | ---------- |    0    |   z
C04 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C05 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C06 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ffffff |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C07 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ffffff |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C08 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ffffff |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C09 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ffffff |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C10 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ffffff |    1     |   1   |   1   |   1   | 0x00000000 |    0    |   z
C11 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00ff0000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C12 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x0000ff00 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
