=================================================
 STREAM_ACCEL_5x5_RGB TIMING DIAGRAM - 9x9 Image
=================================================

Kernel Mode: 0001 (Gaussian Blur)
Image Size: 9x9 pixels = 81 total pixels
Window: 5x5 (4 line buffers + live pixel)
Warmup Pixels: (2 * 9) + 3 = 21 pixels
Output Pixels: 81 - 21 = 60 valid outputs

Format: CYCLE | DATA_PUSH | PIXEL_IN | OUTPUT | WINDOW_VALID
---------+----------+-----------+----------+-----------

2         | 00000080 | R=  0 G=  0 B=128 | 00000000 | WARMUP
4         | 00001c80 | R=  0 G= 28 B=128 | 00000000 | WARMUP
6         | 00003880 | R=  0 G= 56 B=128 | 00000000 | WARMUP
8         | 00005480 | R=  0 G= 84 B=128 | 00000002 | WARMUP
10        | 00007080 | R=  0 G=112 B=128 | 00000005 | WARMUP
12        | 00008c80 | R=  0 G=140 B=128 | 00000107 | WARMUP
14        | 0000a880 | R=  0 G=168 B=128 | 00000308 | WARMUP
16        | 0000c480 | R=  0 G=196 B=128 | 00000508 | WARMUP
18        | 0000e080 | R=  0 G=224 B=128 | 00000708 | WARMUP
20        | 00000080 | R= 28 G=  0 B=128 | 00000808 | WARMUP
22        | 00001c80 | R= 28 G= 28 B=128 | 00000a08 | WARMUP
24        | 00003880 | R= 28 G= 56 B=128 | 00000b0a | WARMUP
26        | 00005480 | R= 28 G= 84 B=128 | 00000912 | WARMUP
28        | 00007080 | R= 28 G=112 B=128 | 0000071e | WARMUP
30        | 00008c80 | R= 28 G=140 B=128 | 00000a26 | WARMUP
32        | 0000a880 | R= 28 G=168 B=128 | 00001128 | WARMUP
34        | 0000c480 | R= 28 G=196 B=128 | 00001a28 | WARMUP
36        | 0000e080 | R= 28 G=224 B=128 | 00002328 | WARMUP
38        | 00000080 | R= 56 G=  0 B=128 | 00002b28 | WARMUP
40        | 00001c80 | R= 56 G= 28 B=128 | 00003428 | WARMUP
42        | 00003880 | R= 56 G= 56 B=128 | 0000382b | WARMUP
44        | 00005480 | R= 56 G= 84 B=128 | 00002e37 | VALID
46        | 00007080 | R= 56 G=112 B=128 | 00001c49 | VALID
48        | 00008c80 | R= 56 G=140 B=128 | 00001855 | VALID
50        | 0000a880 | R= 56 G=168 B=128 | 00002658 | VALID
52        | 0000c480 | R= 56 G=196 B=128 | 00003958 | VALID
54        | 0000e080 | R= 56 G=224 B=128 | 00004d58 | VALID
56        | 00000080 | R= 84 G=  0 B=128 | 00006058 | VALID
58        | 00001c80 | R= 84 G= 28 B=128 | 00007358 | VALID
60        | 00003880 | R= 84 G= 56 B=128 | 00007b5a | VALID
62        | 00005480 | R= 84 G= 84 B=128 | 00006462 | VALID
64        | 00007080 | R= 84 G=112 B=128 | 0000386e | VALID
66        | 00008c80 | R= 84 G=140 B=128 | 00002576 | VALID
68        | 0000a880 | R= 84 G=168 B=128 | 00003478 | VALID
70        | 0000c480 | R= 84 G=196 B=128 | 00004e78 | VALID
72        | 0000e080 | R= 84 G=224 B=128 | 00006978 | VALID
74        | 00000080 | R=112 G=  0 B=128 | 00008378 | VALID
76        | 00001c80 | R=112 G= 28 B=128 | 00009d78 | VALID
78        | 00003880 | R=112 G= 56 B=128 | 0000a878 | VALID
